theta,followerNo,deviation
0.36,0.0,0.3715805848339473
0.36,1.0,0.0
0.36,2.0,0.0
0.36,3.0,0.0
0.72,0.0,0.32910334203912783
0.72,1.0,-0.10615345217529093
0.72,2.0,0.0
0.72,3.0,0.0
1.08,0.0,0.2912173536035232
1.08,1.0,-0.039503513449082206
1.08,2.0,0.030604552877143032
1.08,3.0,0.0
1.44,0.0,0.25750379688316416
1.44,1.0,0.0136965790663921
1.44,2.0,-0.003984252433657076
1.44,3.0,-0.008775432576289433
1.8000000000000003,0.0,0.22755713990835313
1.8000000000000003,1.0,0.05540581765953423
1.8000000000000003,2.0,-0.02323223977272626
1.8000000000000003,3.0,0.005606199242238485
2.16,0.0,0.20099378809907753
2.16,1.0,0.08741999450744453
2.16,2.0,-0.03086489969670314
2.16,3.0,0.00998954547001274
2.52,0.0,0.1774569967635964
2.52,1.0,0.11133642833346258
2.52,2.0,-0.030006661020101966
2.52,3.0,0.008332492791115254
2.88,0.0,0.15661912971930403
2.88,1.0,0.12854893981528237
2.88,2.0,-0.0231998419507633
2.88,3.0,0.0035613217393497543
3.2399999999999998,0.0,0.13818210621230387
3.2399999999999998,1.0,0.14025840816447932
3.2399999999999998,2.0,-0.012467386500447653
3.2399999999999998,3.0,-0.0022557305588541965
3.6000000000000005,0.0,0.1218766655720851
3.6000000000000005,1.0,0.14749027167595452
3.6000000000000005,2.0,0.0006117240742549157
3.6000000000000005,3.0,-0.007730035628290999
3.9599999999999995,0.0,0.1074609045501731
3.9599999999999995,1.0,0.1511142299286492
3.9599999999999995,2.0,0.014828546648586904
3.9599999999999995,3.0,-0.011994135314135512
4.32,0.0,0.09471840674386467
4.32,1.0,0.15186372464693454
4.32,2.0,0.029277412658964774
4.32,3.0,-0.014569618404480345
4.680000000000001,0.0,0.08345618213623718
4.680000000000001,1.0,0.15035407756581876
4.680000000000001,2.0,0.04329801659791466
4.680000000000001,3.0,-0.015260518508027232
5.04,0.0,0.07350256111588593
5.04,1.0,0.14709885636163955
5.04,2.0,0.05642629975083491
5.04,3.0,-0.014069112447076648
5.4,0.0,0.06470513503318998
5.4,1.0,0.14252438789161959
5.4,2.0,0.06835337812283715
5.4,3.0,-0.011130539619299995
5.76,0.0,0.05692879896227243
5.76,1.0,0.1369824998563085
5.76,2.0,0.07889154421335798
5.76,3.0,-0.006662874798152529
6.12,0.0,0.05005392752030202
6.12,1.0,0.13076163764397375
6.12,2.0,0.08794635749898339
6.12,3.0,-0.0009297018254361689
6.4799999999999995,0.0,0.04397469802587595
6.4799999999999995,1.0,0.1240965216959391
6.4799999999999995,2.0,0.0954939064100806
6.4799999999999995,3.0,0.005787320367430127
6.84,0.0,0.038597564494138537
6.84,1.0,0.11717650796753443
6.84,2.0,0.10156242184296582
6.84,3.0,0.013207994948617241
7.200000000000001,0.0,0.033839879182091526
7.200000000000001,1.0,0.11015280276690831
7.200000000000001,2.0,0.10621752568733944
7.200000000000001,3.0,0.021066958271557024
7.5600000000000005,0.0,0.029628654340821514
7.5600000000000005,1.0,0.10314466942383183
7.5600000000000005,2.0,0.10955049738901934
7.5600000000000005,3.0,0.029122300723109174
7.919999999999999,0.0,0.02589945460571319
7.919999999999999,1.0,0.09624475041671321
7.919999999999999,2.0,0.11166903283777874
7.919999999999999,3.0,0.03716058515241416
8.280000000000001,0.0,0.022595409437859537
8.280000000000001,1.0,0.089523615678752
8.280000000000001,2.0,0.11269005114919617
8.280000000000001,3.0,0.04499918471235809
8.64,0.0,0.01966633479069535
8.64,1.0,0.08303363601772928
8.64,2.0,0.11273417584501422
8.64,3.0,0.052486673110434534
9.0,0.0,0.01706795342206613
9.0,1.0,0.076812269864583
9.0,2.0,0.11192157794245183
9.0,3.0,0.05950184386274371
9.360000000000001,0.0,0.014761203806376688
9.360000000000001,1.0,0.07088484179867893
9.360000000000001,2.0,0.11036892038000978
9.360000000000001,3.0,0.0659518067666669
9.719999999999999,0.0,0.01271162829272443
9.719999999999999,1.0,0.06526688237904432
9.719999999999999,2.0,0.10818718707989872
9.719999999999999,3.0,0.07176950539794191
10.08,0.0,0.010888831916662678
10.08,1.0,0.0599660906661994
10.08,2.0,0.10548021686901432
