theta,followerNo,deviation
0.36,0.0,0.3715805848339473
0.36,1.0,0.0
0.36,2.0,0.0
0.36,3.0,0.0
0.72,0.0,0.34088227856707776
0.72,1.0,0.030684200983217558
0.72,2.0,0.0
0.72,3.0,0.0
1.08,0.0,0.31261674967601905
1.08,1.0,0.056480007359340334
1.08,2.0,0.0024158956188715663
1.08,3.0,0.0
1.44,0.0,0.28661188908225155
1.44,1.0,0.07790902767711705
1.44,2.0,0.0067190485939847555
1.44,3.0,0.0001920907710477593
1.8000000000000003,0.0,0.26270277673795195
1.8000000000000003,1.0,0.09546329776459306
1.8000000000000003,2.0,0.012436958876490767
1.8000000000000003,3.0,0.0007150784863547699
2.16,0.0,0.24073263090904762
2.16,1.0,0.10960008586937242
2.16,2.0,0.019156852373351185
2.16,3.0,0.001660036350424221
2.52,0.0,0.22055336451653496
2.52,1.0,0.12073949802485551
2.52,2.0,0.026525085539792048
2.52,3.0,0.003077369159687926
2.88,0.0,0.2020258387008076
2.88,1.0,0.12926402658051694
2.88,2.0,0.03424400315754905
2.88,3.0,0.004984195764666577
3.2399999999999998,0.0,0.18501988794863822
3.2399999999999998,1.0,0.13551939539756752
3.2399999999999998,2.0,0.04206738587829273
3.2399999999999998,3.0,0.007371364559427551
3.6000000000000005,0.0,0.16941417695373784
3.6000000000000005,1.0,0.13981622858668752
3.6000000000000005,2.0,0.04979524587801265
3.6000000000000005,3.0,0.010209757339406433
3.9599999999999995,0.0,0.15509593713983927
3.9599999999999995,1.0,0.1424322052235083
3.9599999999999995,2.0,0.0572684573538198
3.9599999999999995,3.0,0.013455747918455163
4.32,0.0,0.14196062047318403
4.32,1.0,0.14361446473026573
4.32,2.0,0.06436352084359243
4.32,3.0,0.017055803722327845
4.680000000000001,0.0,0.12991149969669946
4.680000000000001,1.0,0.14358210272808147
4.680000000000001,2.0,0.07098763439227174
4.680000000000001,3.0,0.020950282886482263
5.04,0.0,0.11885923722778347
5.04,1.0,0.14252865122311764
5.04,2.0,0.07707416222378738
5.04,3.0,0.02507650872628364
5.4,0.0,0.10872143944792745
5.4,1.0,0.1406244752425838
5.4,2.0,0.0825785390230771
5.4,3.0,0.029371212723240614
5.76,0.0,0.0994222087521277
5.76,1.0,0.13801904470392667
5.76,2.0,0.08747461529579326
5.76,3.0,0.03377243570218047
6.12,0.0,0.09089170231383292
6.12,1.0,0.13484305862594193
6.12,2.0,0.0917514297057016
6.12,3.0,0.038220970209307925
6.4799999999999995,0.0,0.08306570387693157
6.4799999999999995,1.0,0.13121041119130616
6.4799999999999995,2.0,0.09541038317072115
6.4799999999999995,3.0,0.04266141838136184
6.84,0.0,0.07588521285738481
6.84,1.0,0.12721999740916567
6.84,2.0,0.0984627837685701
6.84,3.0,0.0470429304983595
7.200000000000001,0.0,0.06929605349531132
7.200000000000001,1.0,0.12295736146932867
7.200000000000001,2.0,0.10092772916322623
7.200000000000001,3.0,0.051319680759095654
7.5600000000000005,0.0,0.06324850564003248
7.5600000000000005,1.0,0.11849619422361712
7.5600000000000005,2.0,0.1028302930207321
7.5600000000000005,3.0,0.05545112895651094
7.919999999999999,0.0,0.05769695789089324
7.919999999999999,1.0,0.11389968820576613
7.919999999999999,2.0,0.10419998290585708
7.919999999999999,3.0,0.05940210975532656
8.280000000000001,0.0,0.05259958318840918
8.280000000000001,1.0,0.1092217596488041
8.280000000000001,2.0,0.10506943890745202
8.280000000000001,3.0,0.06314278516123295
8.64,0.0,0.04791803650028248
8.64,1.0,0.10450814738363645
8.64,2.0,0.10547334439017808
8.64,3.0,0.06664849044229237
9.0,0.0,0.04361717393253639
9.0,1.0,0.09979739851561753
9.0,2.0,0.10544752259726042
9.0,3.0,0.06989949912696325
9.360000000000001,0.0,0.03966479238490228
9.360000000000001,1.0,0.0951217505225459
9.360000000000001,2.0,0.10502819519597661
9.360000000000001,3.0,0.07288072866980233
9.719999999999999,0.0,0.03603138873614786
9.719999999999999,1.0,0.09050791899772004
9.719999999999999,2.0,0.10425138117879929
9.719999999999999,3.0,0.07558140486564335
10.08,0.0,0.032689937469267294
10.08,1.0,0.08597779974358111
10.08,2.0,0.10315241675573805
10.08,3.0,0.07799470003745945
