theta,followerNo,deviation
0.36,0.0,0.36751096905132474
0.36,1.0,-0.05235987755983018
0.36,2.0,-0.052359877559828405
0.36,3.0,-0.05235987755982752
0.72,0.0,0.33300778759350025
0.72,1.0,-0.017939350331701576
0.72,2.0,-0.05235987755982929
0.72,3.0,-0.052359877559833734
1.08,0.0,0.30119699430881863
1.08,1.0,0.011031208837732454
1.08,2.0,-0.0496392478689911
1.08,3.0,-0.052359877559828405
1.44,0.0,0.2718982282029807
1.44,1.0,0.035118720523521496
1.44,2.0,-0.04478784528463464
1.44,3.0,-0.05214172833375663
1.8000000000000003,0.0,0.24493612966650935
1.8000000000000003,1.0,0.0548640942034031
1.8000000000000003,2.0,-0.03833795269084561
1.8000000000000003,3.0,-0.05154646871496382
2.16,0.0,0.2201420402844807
2.16,1.0,0.07077398871479623
2.16,2.0,-0.03075710604391535
2.16,3.0,-0.050469535144147315
2.52,0.0,0.19735514964544265
2.52,1.0,0.08331642915975435
2.52,2.0,-0.02244690512138625
2.52,3.0,-0.04885334897119442
2.88,0.0,0.17642320409097345
2.88,1.0,0.09291914017922442
2.88,2.0,-0.013745557140042663
2.88,3.0,-0.04667901987909673
3.2399999999999998,0.0,0.1572028752979593
3.2399999999999998,1.0,0.09996972126584325
3.2399999999999998,2.0,-0.00493255927698133
3.2399999999999998,3.0,-0.043958206967058544
3.6000000000000005,0.0,0.13955987006706727
3.6000000000000005,1.0,0.10481701742467076
3.6000000000000005,2.0,0.00376555694755476
3.6000000000000005,3.0,-0.04072569305354534
3.9599999999999995,0.0,0.12336884763019507
3.9599999999999995,1.0,0.10777322051264449
3.9599999999999995,2.0,0.012169116726249207
3.9599999999999995,3.0,-0.03703291593057223
4.32,0.0,0.10851319760961031
4.32,1.0,0.1091163756677962
4.32,2.0,0.020139259783590546
4.32,3.0,-0.032942514724549454
4.680000000000001,0.0,0.09488472056420205
4.680000000000001,1.0,0.10909307013466041
4.680000000000001,2.0,0.02757221661073439
4.680000000000001,3.0,-0.028523848036406285
5.04,0.0,0.0823832437577805
5.04,1.0,0.10792115609054154
5.04,2.0,0.03439403700856758
5.04,3.0,-0.023849391498520944
5.4,0.0,0.07091619719581166
5.4,1.0,0.10579241169806286
5.4,2.0,0.040555829796640186
5.4,3.0,-0.01899190415110752
5.76,0.0,0.060398168875660296
5.76,1.0,0.10287508126749767
5.76,2.0,0.04602952617065714
5.76,3.0,-0.01402225173442595
6.12,0.0,0.050750453350196345
6.12,1.0,0.09931626056287479
6.12,2.0,0.05080415161706142
6.12,3.0,-0.009007782189373259
6.4799999999999995,0.0,0.04190060389888339
6.4799999999999995,1.0,0.0952441102728856
6.4799999999999995,2.0,0.054882575824016566
6.4799999999999995,3.0,-0.004011159488615412
6.84,0.0,0.033781995641534834
6.84,1.0,0.09076989193703255
6.84,2.0,0.05827870221807396
6.84,3.0,0.0009104262772763327
7.200000000000001,0.0,0.02633340465119849
7.200000000000001,1.0,0.08598982792462362
7.200000000000001,2.0,0.0610150557027227
7.200000000000001,3.0,0.005705743210673742
7.5600000000000005,0.0,0.019498606385473183
7.5600000000000005,1.0,0.08098679165106848
7.5600000000000005,2.0,0.06312072700856763
7.5600000000000005,3.0,0.010329756529226408
7.919999999999999,0.0,0.013225995444802852
7.919999999999999,1.0,0.07583183695214313
7.919999999999999,2.0,0.06462963359179419
7.919999999999999,3.0,0.014743673068454033
8.280000000000001,0.0,0.007468227689116924
8.280000000000001,1.0,0.07058557702597223
8.280000000000001,2.0,0.06557905948337384
8.280000000000001,3.0,0.01891483428136853
8.64,0.0,0.0021818850261614564
8.64,1.0,0.06529942401085842
8.64,2.0,0.06600843942323875
8.64,3.0,0.02281649370324823
9.0,0.0,-0.0026728373337858713
9.0,1.0,0.060016700380260524
9.0,2.0,0.06595835571822706
9.0,3.0,0.02642750888103018
9.360000000000001,0.0,-0.007132421727886751
9.360000000000001,1.0,0.054773633099325814
9.360000000000001,2.0,0.06546971936111712
9.360000000000001,3.0,0.029731972650380634
9.719999999999999,0.0,-0.011230297815938428
9.719999999999999,1.0,0.04960024103282468
9.719999999999999,2.0,0.06458310993423844
9.719999999999999,3.0,0.032718804262302115
10.08,0.0,-0.014997092263287826
10.08,1.0,0.04452112551216003
10.08,2.0,0.06333825163480666
10.08,3.0,0.035381317111527366
10.440000000000001,0.0,-0.01846085941058284
10.440000000000001,1.0,0.039556173319527765
10.440000000000001,2.0,0.06177360536916998
10.440000000000001,3.0,0.03771677661329864
10.8,0.0,-0.021647294057282274
10.8,1.0,0.034721180670876706
10.8,2.0,0.059926059257044084
10.8,3.0,0.03972595903870513
11.16,0.0,-0.024579927498766807
11.16,1.0,0.03002840610263946
11.16,2.0,0.05783070206338614
11.16,3.0,0.04141271978899397
11.52,0.0,-0.02728030794424452
11.52,1.0,0.025487059507633303
11.52,2.0,0.055520666040924205
11.52,3.0,0.042783577612913515
11.88,0.0,-0.02976816641224822
11.88,1.0,0.021103733934073388
11.88,2.0,0.05302702743073828
11.88,3.0,0.04384731960279753
12.24,0.0,-0.03206156915820291
12.24,1.0,0.016882786164559738
12.24,2.0,0.050378754444360574
12.24,3.0,0.044614630405556355
12.600000000000001,0.0,-0.034177057638528296
12.600000000000001,1.0,0.012826671533052947
12.600000000000001,2.0,0.04760269395246475
12.600000000000001,3.0,0.04509774791985466
12.959999999999999,0.0,-0.03612977696109798
12.959999999999999,1.0,0.008936237918407919
12.959999999999999,2.0,0.044723589346581605
12.959999999999999,3.0,0.04531014679040757
13.319999999999999,0.0,-0.0379335937151275
13.319999999999999,1.0,0.00521098337319148
13.319999999999999,2.0,0.0417641231354402
13.319999999999999,3.0,0.045266250227887106
13.68,0.0,-0.0396012040164484
13.68,1.0,0.0016492814053894467
13.68,2.0,0.038744978800212326
13.68,3.0,0.044981170054635644
14.04,0.0,-0.041144232547505766
14.04,1.0,-0.0017514224733528039
14.04,2.0,0.03568491727605139
14.04,3.0,0.0444704743809603
14.400000000000002,0.0,-0.042573323316831946
14.400000000000002,1.0,-0.0049944396878132125
14.400000000000002,2.0,0.0326008641630775
14.400000000000002,3.0,0.04374998193525492
14.759999999999998,0.0,-0.04389822280978617
14.759999999999998,1.0,-0.008083690117929088
14.759999999999998,2.0,0.02950800440975332
14.759999999999998,3.0,0.042835581786550225
15.120000000000001,0.0,-0.04512785615246262
