theta,followerNo,deviation
0.36,0.0,0.3756513046280432
0.36,1.0,0.05235987755983018
0.36,2.0,0.05235987755982929
0.36,3.0,0.05235987755982707
0.72,0.0,0.34874763758314065
0.72,1.0,0.0792913866374434
0.72,2.0,0.05235987755982974
0.72,3.0,0.052359877559828405
1.08,0.0,0.3240099441601767
1.08,1.0,0.10189352228341786
1.08,2.0,0.0544835025546524
1.08,3.0,0.052359877559830625
1.44,0.0,0.3012774992654168
1.44,1.0,0.12064090847776443
1.44,2.0,0.05825940482065306
1.44,3.0,0.052528341004736134
1.8000000000000003,0.0,0.2803981313415813
1.8000000000000003,1.0,0.1359764931733629
1.8000000000000003,2.0,0.06327047502621008
1.8000000000000003,3.0,0.05298578256223374
2.16,0.0,0.26122858962720175
2.16,1.0,0.14830877144636379
2.16,2.0,0.06915464410813499
2.16,3.0,0.05381078455419663
2.52,0.0,0.24363465328857625
2.52,1.0,0.1580109534067704
2.52,2.0,0.07560291174567402
2.52,3.0,0.0550467006338069
2.88,0.0,0.2274910485456465
2.88,1.0,0.1654214544628836
2.88,2.0,0.08235575051452759
2.88,3.0,0.056708266894115233
3.2399999999999998,0.0,0.2126812267740097
3.2399999999999998,1.0,0.17084524601323814
3.2399999999999998,2.0,0.08919866777255381
3.2399999999999998,3.0,0.05878769999999056
3.6000000000000005,0.0,0.19909704540305628
3.6000000000000005,1.0,0.17455573239805888
3.6000000000000005,2.0,0.09595743904197285
3.6000000000000005,3.0,0.061260091201816635
3.9599999999999995,0.0,0.18663838415856482
3.9599999999999995,1.0,0.17679691780859175
3.9599999999999995,2.0,0.10249333817723505
3.9599999999999995,3.0,0.06408804194217588
4.32,0.0,0.17521272163301838
4.32,1.0,0.17778569975048564
4.32,2.0,0.10869856112835885
4.32,3.0,0.06722556258027135
4.680000000000001,0.0,0.16473469108378724
4.680000000000001,1.0,0.17771417880632212
4.680000000000001,2.0,0.11449195464687101
4.680000000000001,3.0,0.07062129353864366
5.04,0.0,0.15512562952840248
5.04,1.0,0.17675191252969746
5.04,2.0,0.11981510565424758
5.04,3.0,0.07422112351391075
5.4,0.0,0.14631313041114957
5.4,1.0,0.17504806819668817
5.4,2.0,0.12462881156236882
5.4,3.0,0.07797028225666924
5.76,0.0,0.1382306071642425
5.76,1.0,0.1727334478714906
5.76,2.0,0.12890992982894467
5.76,3.0,0.08181498188345637
6.12,0.0,0.13081687271416076
6.12,1.0,0.1699223721077039
6.12,2.0,0.13264859182199729
6.12,3.0,0.08570367425861836
6.4799999999999995,0.0,0.12401573825047918
6.4799999999999995,1.0,0.16671441730326864
6.4799999999999995,2.0,0.1358457585600812
6.4799999999999995,3.0,0.08958798461496764
6.84,0.0,0.1177756332668849
6.84,1.0,0.16319600748939944
6.84,2.0,0.1385110920474517
6.84,3.0,0.09342337426578018
7.200000000000001,0.0,0.11204924790871473
7.200000000000001,1.0,0.15944186504707591
7.200000000000001,2.0,0.1406611144025689
7.200000000000001,3.0,0.09716957845568341
7.5600000000000005,0.0,0.10679319794450604
7.5600000000000005,1.0,0.15551632713763563
7.5600000000000005,2.0,0.14231762691942418
7.5600000000000005,3.0,0.10079085927174969
7.919999999999999,0.0,0.10196771216109068
7.919999999999999,1.0,0.15147453594989102
7.919999999999999,2.0,0.14350636204377532
7.919999999999999,3.0,0.10425610810894748
8.280000000000001,0.0,0.09753634161623226
8.280000000000001,1.0,0.14736351151603166
8.280000000000001,2.0,0.14425584262790592
8.280000000000001,3.0,0.10753882740915666
8.64,0.0,0.09346568993340387
8.64,1.0,0.1432231160493509
8.64,2.0,0.14459642451185228
8.64,3.0,0.11061701720005157
9.0,0.0,0.08972516366107541
9.0,1.0,0.13908691865977452
9.0,2.0,0.14455950031250264
9.0,3.0,0.11347298827564334
9.360000000000001,0.0,0.08628674162206251
9.360000000000001,1.0,0.1349829690133153
9.360000000000001,2.0,0.14417684418354426
9.360000000000001,3.0,0.11609312061811528
9.719999999999999,0.0,0.08312476213017295
9.719999999999999,1.0,0.13093448809158148
9.719999999999999,2.0,0.14348007917302175
9.719999999999999,3.0,0.11846758280356307
10.08,0.0,0.08021572693821755
10.08,1.0,0.12696048372779667
10.08,2.0,0.1425002506083657
10.08,3.0,0.12059002561533871
10.440000000000001,0.0,0.07753812079351219
10.440000000000001,1.0,0.12307629808095366
10.440000000000001,2.0,0.1412674906538105
10.440000000000001,3.0,0.12245726086914122
10.8,0.0,0.07507224550713287
10.8,1.0,0.11929409368351429
10.8,2.0,0.13981076079558363
10.8,3.0,0.1240689345016599
11.16,0.0,0.07280006748497314
11.16,1.0,0.11562328417649059
11.16,2.0,0.13815766050702605
11.16,3.0,0.1254272012626778
11.52,0.0,0.07070507771834489
11.52,1.0,0.11207091533948099
11.52,2.0,0.13633429172500522
11.52,3.0,0.12653640685593626
11.88,0.0,0.0687721632862004
11.88,1.0,0.10864200153916626
11.88,2.0,0.13436517003050463
11.88,3.0,0.12740278207646583
12.24,0.0,0.06698748947740985
12.24,1.0,0.10533982226214134
12.24,2.0,0.1322731745726986
12.24,3.0,0.12803415237313986
12.600000000000001,0.0,0.06533839169842803
12.600000000000001,1.0,0.1021661829690319
12.600000000000001,2.0,0.1300795298114612
12.600000000000001,3.0,0.12843966530813855
12.959999999999999,0.0,0.06381327638793399
12.959999999999999,1.0,0.09912164410768542
